Country,Continent,ISO_Code,Level,GDLCODE,Region,Year,surfacetempyear
Afghanistan,Asia/Pacific,AFG,National,AFGt,Total,2022,10.82
Albania,Europe,ALB,National,ALBt,Total,2022,13.75
Algeria,Africa,DZA,National,DZAt,Total,2022,19.83
Andorra,Europe,AND,National,ANDt,Total,2022,7.176
Angola,Africa,AGO,National,AGOt,Total,2022,22.69
"Antigua and Barbuda",America,ATG,National,ATGt,Total,2022,26.19
"Argentina urban",America,ARG,National,ARGt,Total,2022,15.6
Armenia,Asia/Pacific,ARM,National,ARMt,Total,2022,8.193
Australia,Asia/Pacific,AUS,National,AUSt,Total,2022,19.01
Austria,Europe,AUT,National,AUTt,Total,2022,8.363
Azerbaijan,Asia/Pacific,AZE,National,AZEt,Total,2022,12.56
"Bahamas, The",America,BHS,National,BHSt,Total,2022,25.87
Bahrain,Asia/Pacific,BHR,National,BHRt,Total,2022,26.62
Bangladesh,Asia/Pacific,BGD,National,BGDt,Total,2022,25.8
Barbados,America,BRB,National,BRBt,Total,2022,26.35
Belarus,Europe,BLR,National,BLRt,Total,2022,7.839
Belgium,Europe,BEL,National,BELt,Total,2022,11.59
Belize,America,BLZ,National,BLZt,Total,2022,26
Benin,Africa,BEN,National,BENt,Total,2022,27.39
Bhutan,Asia/Pacific,BTN,National,BTNt,Total,2022,11.08
Bolivia,America,BOL,National,BOLt,Total,2022,18.08
"Bosnia and Herzegovina",Europe,BIH,National,BIHt,Total,2022,11.61
Botswana,Africa,BWA,National,BWAt,Total,2022,21.34
Brazil,America,BRA,National,BRAt,Total,2022,24.21
"Brunei Darussalam",Asia/Pacific,BRN,National,BRNt,Total,2022,26.41
Bulgaria,Europe,BGR,National,BGRt,Total,2022,12.25
"Burkina Faso",Africa,BFA,National,BFAt,Total,2022,28.51
Burundi,Africa,BDI,National,BDIt,Total,2022,20.9
Cambodia,Asia/Pacific,KHM,National,KHMt,Total,2022,27.5
Cameroon,Africa,CMR,National,CMRt,Total,2022,24.57
Canada,America,CAN,National,CANt,Total,2022,0.6
"Cape Verde",Africa,CPV,National,CPVt,Total,2022,23.25
"Central African Republic CAR",Africa,CAF,National,CAFt,Total,2022,26.23
Chad,Africa,TCD,National,TCDt,Total,2022,27.86
Chili,America,CHL,National,CHLt,Total,2022,9.418
China,Asia/Pacific,CHN,National,CHNt,Total,2022,13.25
Colombia,America,COL,National,COLt,Total,2022,22.79
Comoros,Africa,COM,National,COMt,Total,2022,25.46
"Congo Brazzaville",Africa,COG,National,COGt,Total,2022,25.02
"Congo Democratic Republic",Africa,COD,National,CODt,Total,2022,24.27
"Costa Rica",America,CRI,National,CRIt,Total,2022,22.22
"Cote d'Ivoire",Africa,CIV,National,CIVt,Total,2022,26.47
Croatia,Europe,HRV,National,HRVt,Total,2022,13.3
Cuba,America,CUB,National,CUBt,Total,2022,25.82
Cyprus,Europe,CYP,National,CYPt,Total,2022,19.31
Czechia,Europe,CZE,National,CZEt,Total,2022,9.636
Denmark,Europe,DNK,National,DNKt,Total,2022,9.732
Djibouti,Africa,DJI,National,DJIt,Total,2022,28.69
Dominica,America,DMA,National,DMAt,Total,2022,25.7
"Dominican Republic",America,DOM,National,DOMt,Total,2022,24.27
Ecuador,America,ECU,National,ECUt,Total,2022,20.84
Egypt,Africa,EGY,National,EGYt,Total,2022,22.44
"El Salvador",America,SLV,National,SLVt,Total,2022,26.09
"Equatorial Guinea",Africa,GNQ,National,GNQt,Total,2022,24.33
Eritrea,Africa,ERI,National,ERIt,Total,2022,25.4
Estonia,Europe,EST,National,ESTt,Total,2022,6.864
Eswatini,Africa,SWZ,National,SWZt,Total,2022,19.62
Ethiopia,Africa,ETH,National,ETHt,Total,2022,23.21
Fiji,Asia/Pacific,FJI,National,FJIt,Total,2022,25.08
Finland,Europe,FIN,National,FINt,Total,2022,5.599
France,Europe,FRA,National,FRAt,Total,2022,14.26
"French Polynesia",Asia/Pacific,PYF,National,PYFt,Total,2022,25.17
Gabon,Africa,GAB,National,GABt,Total,2022,25.03
Gambia,Africa,GMB,National,GMBt,Total,2022,27.58
Georgia,Asia/Pacific,GEO,National,GEOt,Total,2022,8.962
Germany,Europe,DEU,National,DEUt,Total,2022,10.7
Ghana,Africa,GHA,National,GHAt,Total,2022,27.32
Gibraltar,Europe,GIB,National,GIBt,Total,2022,18.33
Greece,Europe,GRC,National,GRCt,Total,2022,16.09
Greenland,America,GRL,National,GRLt,Total,2022,-17.12
Grenada,America,GRD,National,GRDt,Total,2022,26.48
Guatemala,America,GTM,National,GTMt,Total,2022,22.45
Guinea,Africa,GIN,National,GINt,Total,2022,26.13
"Guinea Bissau",Africa,GNB,National,GNBt,Total,2022,27.47
Guyana,America,GUY,National,GUYt,Total,2022,25.44
Haiti,America,HTI,National,HTIt,Total,2022,25.41
Honduras,America,HND,National,HNDt,Total,2022,23.84
Hungary,Europe,HUN,National,HUNt,Total,2022,12.34
Iceland,Europe,ISL,National,ISLt,Total,2022,1.777
India,Asia/Pacific,IND,National,INDt,Total,2022,22.95
Indonesia,Asia/Pacific,IDN,National,IDNt,Total,2022,25.58
Iran,Asia/Pacific,IRN,National,IRNt,Total,2022,17.27
Iraq,Asia/Pacific,IRQ,National,IRQt,Total,2022,24.28
Ireland,Europe,IRL,National,IRLt,Total,2022,10.52
